index,0
960,2009.comp.707
961,2010.comp.422
962,2010.comp.707
963,2011.comp.422
964,2011.comp.707
965,2012.comp.422
966,2012.comp.707
967,2013.comp.422
968,2013.comp.707
969,2014.comp.422
970,2014.comp.707
971,2015.comp.422
972,2015.comp.707
973,2016.comp.422
974,2016.comp.707
975,2017.comp.422
976,2017.comp.707
977,2018.comp.422
978,2018.comp.707
979,2019.comp.422
980,2019.comp.707
981,2020.comp.422
982,2020.comp.707
983,2016.comp.423
984,2018.comp.423
985,2018.comp.999
986,2019.comp.423
987,2019.comp.999
988,2020.comp.423
989,2020.comp.999
990,2019.comp.425
991,2020.comp.425
992,2004.comp.428
993,2004.comp.600478
994,2018.comp.429
995,2004.comp.430
996,2004.comp.156
997,2005.comp.430
998,2005.comp.156
999,2007.comp.430
1000,2007.comp.156
1001,2009.comp.488
1002,2012.comp.498
1003,2012.comp.600350
1004,2013.comp.498
1005,2013.comp.600350
1006,2014.comp.498
1007,2014.comp.600350
1008,2015.comp.498
1009,2015.comp.600350
1010,2016.comp.498
1011,2016.comp.600350
1012,2017.comp.498
1013,2017.comp.600350
1014,2017.comp.600068
1015,2018.comp.498
1016,2018.comp.600350
1017,2019.comp.498
1018,2019.comp.600350
1019,2020.comp.498
1020,2020.comp.600350
1021,2015.comp.501
1022,2013.comp.504
1023,2019.comp.505
1024,2019.comp.600429
1025,2020.comp.505
1026,2020.comp.600429
1027,2012.comp.507
1028,2012.comp.600096
1029,2013.comp.507
1030,2013.comp.600096
1031,2016.comp.510
1032,2003.comp.513
1033,2003.comp.600380
1034,2004.comp.513
1035,2004.comp.600380
1036,2005.comp.513
1037,2005.comp.600380
1038,2006.comp.513
1039,2006.comp.600380
1040,2007.comp.513
1041,2007.comp.600380
1042,2008.comp.513
1043,2008.comp.600380
1044,2009.comp.513
1045,2009.comp.600380
1046,2010.comp.513
1047,2010.comp.600380
1048,2011.comp.513
1049,2011.comp.600380
1050,2012.comp.513
1051,2012.comp.600380
1052,2013.comp.513
1053,2013.comp.600380
1054,2014.comp.513
1055,2014.comp.600380
1056,2015.comp.513
1057,2015.comp.600380
1058,2016.comp.513
1059,2016.comp.600380
1060,2017.comp.513
1061,2017.comp.600380
1062,2018.comp.513
1063,2018.comp.600380
1064,2019.comp.513
1065,2019.comp.600380
1066,2020.comp.513
1067,2020.comp.600380
1068,2009.comp.516
1069,2009.comp.564
1070,2017.comp.518
1071,2017.comp.600220
1072,2019.comp.518
1073,2019.comp.600220
1074,2020.comp.518
1075,2020.comp.600220
1076,2003.comp.520
1077,2003.comp.600028
1078,2004.comp.520
1079,2004.comp.600028
1080,2005.comp.520
1081,2005.comp.600028
1082,2006.comp.520
1083,2006.comp.600028
1084,2006.comp.521
1085,2006.comp.600839
1086,2007.comp.521
1087,2007.comp.600839
1088,2007.comp.522
1089,2007.comp.600332
1090,2008.comp.522
1091,2008.comp.600332
1092,2009.comp.522
1093,2009.comp.600332
1094,2012.comp.522
1095,2012.comp.600332
1096,2016.comp.524
1097,2018.comp.524
1098,2020.comp.524
1099,2008.comp.527
1100,2008.comp.418
1101,2019.comp.529
1102,2019.comp.601900
1103,2020.comp.529
1104,2020.comp.601900
1105,2003.comp.530
1106,2003.comp.600346
1107,2004.comp.530
1108,2004.comp.600346
1109,2016.comp.532
1110,2016.comp.600325
1111,2017.comp.532
1112,2017.comp.600325
1113,2009.comp.533
1114,2003.comp.534
1115,2003.comp.600011
1116,2004.comp.534
1117,2004.comp.600011
1118,2005.comp.534
1119,2005.comp.600011
1120,2006.comp.534
1121,2006.comp.600011
1122,2014.comp.534
1123,2008.comp.536
1124,2008.comp.600203
1125,2009.comp.536
1126,2009.comp.600203
1127,2010.comp.536
1128,2010.comp.600870
1129,2011.comp.536
1130,2011.comp.600870
